pattern_key_v2,n,1号艇,威力1位,威力2位,威力3位,威力4位,威力5位
1号[まくられ型] | 筆頭[5号:まくり差し] | 連動有,761,0.44021024967148487,0.18396846254927726,0.1590013140604468,0.13272010512483573,0.06964520367936924,0.01445466491458607
1号[差され型] | 筆頭[4号:差し] | 連動有,754,0.39389920424403185,0.1909814323607427,0.1909814323607427,0.1220159151193634,0.07161803713527852,0.03050397877984085
1号[まくられ型] | 筆頭[4号:差し] | 連動有,734,0.4550408719346049,0.19209809264305178,0.16076294277929154,0.10626702997275204,0.05449591280653951,0.031335149863760216
1号[まくられ型] | 筆頭[4号:まくり差し] | 連動有,726,0.40082644628099173,0.24517906336088155,0.162534435261708,0.11983471074380166,0.049586776859504134,0.02203856749311295
1号[粘り型] | 筆頭[3号:まくり差し] | 連動無,611,0.690671031096563,0.15057283142389524,0.07364975450081833,0.03600654664484452,0.03927986906710311,0.009819967266775777
1号[まくり差され型] | 筆頭[5号:まくり差し] | 連動有,537,0.441340782122905,0.15828677839851024,0.1824953445065177,0.1191806331471136,0.07262569832402235,0.0260707635009311
1号[差され型] | 筆頭[5号:まくり差し] | 連動有,530,0.4056603773584906,0.2037735849056604,0.1792452830188679,0.10566037735849057,0.07735849056603773,0.02830188679245283
1号[まくられ型] | 筆頭[5号:まくり] | 連動有,522,0.4272030651340996,0.1743295019157088,0.15517241379310345,0.13409961685823754,0.08045977011494253,0.028735632183908046
1号[差され型] | 筆頭[4号:まくり差し] | 連動有,513,0.3684210526315789,0.24171539961013644,0.14230019493177387,0.14814814814814814,0.07212475633528265,0.02729044834307992
1号[粘り型] | 筆頭[2号:まくり] | 連動無,509,0.6974459724950884,0.11198428290766209,0.0962671905697446,0.060903732809430254,0.029469548133595286,0.003929273084479371
1号[粘り型] | 筆頭[4号:差し] | 連動無,502,0.7330677290836654,0.12350597609561753,0.04183266932270916,0.05976095617529881,0.037848605577689244,0.00398406374501992
1号[まくられ型] | 筆頭[3号:まくり] | 連動無,450,0.49333333333333335,0.19777777777777777,0.13555555555555557,0.11333333333333333,0.04,0.02
1号[まくられ型] | 筆頭[3号:差し] | 連動有,430,0.46744186046511627,0.1883720930232558,0.17209302325581396,0.07674418604651163,0.06279069767441861,0.03255813953488372
1号[粘り型] | 筆頭[3号:差し] | 連動無,407,0.7346437346437347,0.09828009828009827,0.07371007371007371,0.04668304668304668,0.044226044226044224,0.002457002457002457
1号[粘り型] | 筆頭[5号:まくり差し] | 連動無,402,0.7139303482587065,0.07711442786069651,0.0945273631840796,0.05472636815920398,0.0472636815920398,0.012437810945273632
1号[粘り型] | 筆頭[6号:まくり] | 連動有,391,0.6470588235294118,0.08695652173913043,0.09974424552429667,0.056265984654731455,0.056265984654731455,0.05370843989769821
1号[差され型] | 筆頭[3号:差し] | 連動有,350,0.4742857142857143,0.1657142857142857,0.18,0.10285714285714286,0.06,0.017142857142857144
1号[まくられ型] | 筆頭[4号:まくり] | 連動無,345,0.42028985507246375,0.22608695652173913,0.16231884057971013,0.0927536231884058,0.08115942028985507,0.017391304347826087
1号[まくり差され型] | 筆頭[4号:まくり差し] | 連動有,312,0.44551282051282054,0.21474358974358973,0.1891025641025641,0.08653846153846154,0.05128205128205128,0.01282051282051282
1号[粘り型] | 筆頭[4号:まくり差し] | 連動無,254,0.6535433070866141,0.15748031496062992,0.08661417322834646,0.051181102362204724,0.03937007874015748,0.011811023622047244
1号[まくり差され型] | 筆頭[2号:差し] | 連動無,237,0.5232067510548524,0.18565400843881857,0.1518987341772152,0.08438818565400844,0.046413502109704644,0.008438818565400843
1号[粘り型] | 筆頭[6号:まくり差し] | 連動有,227,0.7048458149779736,0.03524229074889868,0.06607929515418502,0.07048458149779736,0.05286343612334802,0.07048458149779736
1号[差され型] | 筆頭[3号:まくり] | 連動無,218,0.481651376146789,0.22018348623853212,0.1743119266055046,0.07339449541284404,0.04128440366972477,0.009174311926605505
1号[まくり差され型] | 筆頭[2号:まくり] | 連動有,214,0.4439252336448598,0.26635514018691586,0.12149532710280374,0.09345794392523364,0.056074766355140186,0.018691588785046728
1号[粘り型] | 筆頭[5号:まくり] | 連動無,202,0.6831683168316832,0.1188118811881188,0.09405940594059406,0.06435643564356436,0.0297029702970297,0.009900990099009901
1号[まくり差され型] | 筆頭[4号:差し] | 連動有,197,0.5634517766497462,0.15228426395939088,0.1218274111675127,0.10152284263959391,0.050761421319796954,0.01015228426395939
1号[まくられ型] | 筆頭[3号:まくり差し] | 連動無,177,0.4858757062146893,0.1977401129943503,0.14124293785310735,0.0903954802259887,0.06779661016949153,0.01694915254237288
1号[まくられ型] | 筆頭[6号:まくり] | 連動有,177,0.4124293785310734,0.14124293785310735,0.13559322033898305,0.14689265536723164,0.0903954802259887,0.07344632768361582
1号[まくられ型] | 筆頭[2号:まくり] | 連動無,173,0.5028901734104047,0.20809248554913296,0.13872832369942195,0.08670520231213873,0.046242774566473986,0.017341040462427744
1号[差され型] | 筆頭[5号:まくり] | 連動有,156,0.3974358974358974,0.23076923076923078,0.12179487179487179,0.12179487179487179,0.08974358974358974,0.038461538461538464
1号[差され型] | 筆頭[4号:まくり] | 連動無,149,0.4228187919463087,0.21476510067114093,0.18791946308724833,0.08053691275167785,0.06711409395973154,0.026845637583892617
1号[差され型] | 筆頭[4号:差し] | 連動無,141,0.48936170212765956,0.1773049645390071,0.1773049645390071,0.11347517730496454,0.028368794326241134,0.014184397163120567
1号[抜かれ型] | 筆頭[2号:差し] | 連動有,140,0.44285714285714284,0.22142857142857142,0.1357142857142857,0.09285714285714286,0.08571428571428572,0.02142857142857143
1号[差され型] | 筆頭[2号:まくり] | 連動無,136,0.47794117647058826,0.20588235294117646,0.11764705882352941,0.13970588235294118,0.051470588235294115,0.007352941176470588
1号[まくられ型] | 筆頭[3号:差し] | 連動無,123,0.5121951219512195,0.18699186991869918,0.13008130081300814,0.0975609756097561,0.04065040650406504,0.032520325203252036
1号[差され型] | 筆頭[3号:まくり差し] | 連動無,120,0.4666666666666667,0.2,0.14166666666666666,0.09166666666666666,0.05,0.05
1号[粘り型] | 筆頭[5号:差し] | 連動有,115,0.6695652173913044,0.09565217391304348,0.10434782608695652,0.05217391304347826,0.06086956521739131,0.017391304347826087
1号[まくられ型] | 筆頭[4号:差し] | 連動無,114,0.49122807017543857,0.21929824561403508,0.16666666666666666,0.06140350877192982,0.043859649122807015,0.017543859649122806
1号[まくられ型] | 筆頭[5号:まくり差し] | 連動無,114,0.5175438596491229,0.10526315789473684,0.17543859649122806,0.07894736842105263,0.10526315789473684,0.017543859649122806
1号[まくり差され型] | 筆頭[3号:まくり] | 連動無,108,0.5277777777777778,0.1574074074074074,0.1111111111111111,0.10185185185185185,0.08333333333333333,0.018518518518518517
1号[差され型] | 筆頭[3号:差し] | 連動無,108,0.49074074074074076,0.25,0.1574074074074074,0.05555555555555555,0.037037037037037035,0.009259259259259259
1号[まくり差され型] | 筆頭[5号:まくり] | 連動有,93,0.44086021505376344,0.0967741935483871,0.15053763440860216,0.12903225806451613,0.15053763440860216,0.03225806451612903
1号[まくり差され型] | 筆頭[3号:差し] | 連動有,92,0.44565217391304346,0.17391304347826086,0.20652173913043478,0.06521739130434782,0.07608695652173914,0.03260869565217391
1号[まくられ型] | 筆頭[5号:まくり] | 連動無,79,0.3924050632911392,0.11392405063291139,0.27848101265822783,0.08860759493670886,0.10126582278481013,0.02531645569620253
1号[粘り型] | 筆頭[6号:まくり差し] | 連動無,75,0.76,0.0,0.05333333333333334,0.13333333333333333,0.04,0.013333333333333334
1号[抜かれ型] | 筆頭[2号:差し] | 連動無,71,0.4084507042253521,0.2676056338028169,0.11267605633802817,0.1267605633802817,0.08450704225352113,0.0
1号[抜かれ型] | 筆頭[4号:まくり] | 連動有,70,0.4142857142857143,0.2571428571428571,0.15714285714285714,0.15714285714285714,0.014285714285714285,0.0
1号[まくり差され型] | 筆頭[3号:まくり差し] | 連動無,66,0.5303030303030303,0.22727272727272727,0.07575757575757576,0.09090909090909091,0.06060606060606061,0.015151515151515152
1号[まくり差され型] | 筆頭[4号:まくり] | 連動無,64,0.578125,0.1875,0.078125,0.0625,0.078125,0.015625
1号[まくられ型] | 筆頭[4号:まくり差し] | 連動無,62,0.45161290322580644,0.20967741935483872,0.1774193548387097,0.08064516129032258,0.016129032258064516,0.06451612903225806
1号[抜かれ型] | 筆頭[3号:まくり] | 連動有,58,0.4827586206896552,0.27586206896551724,0.1206896551724138,0.10344827586206896,0.017241379310344827,0.0
1号[粘り型] | 筆頭[5号:差し] | 連動無,51,0.7843137254901961,0.09803921568627451,0.09803921568627451,0.0196078431372549,0.0,0.0
1号[粘り型] | 筆頭[6号:差し] | 連動有,51,0.7254901960784313,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.0196078431372549,0.11764705882352941
1号[差され型] | 筆頭[5号:まくり差し] | 連動無,48,0.4375,0.14583333333333334,0.20833333333333334,0.14583333333333334,0.0625,0.0
1号[粘り型] | 筆頭[6号:差し] | 連動無,47,0.6595744680851063,0.0425531914893617,0.1276595744680851,0.0425531914893617,0.10638297872340426,0.02127659574468085
1号[まくり差され型] | 筆頭[5号:まくり差し] | 連動無,46,0.5869565217391305,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.10869565217391304,0.043478260869565216
1号[抜かれ型] | 筆頭[3号:まくり差し] | 連動有,45,0.4444444444444444,0.28888888888888886,0.13333333333333333,0.044444444444444446,0.06666666666666667,0.022222222222222223
1号[粘り型] | 筆頭[6号:まくり] | 連動無,41,0.7073170731707317,0.07317073170731707,0.0,0.0975609756097561,0.12195121951219512,0.0
1号[差され型] | 筆頭[5号:差し] | 連動有,38,0.34210526315789475,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.18421052631578946,0.0
1号[差され型] | 筆頭[4号:まくり差し] | 連動無,37,0.5135135135135135,0.16216216216216217,0.10810810810810811,0.13513513513513514,0.05405405405405406,0.02702702702702703
1号[まくり差され型] | 筆頭[3号:差し] | 連動無,36,0.5,0.3055555555555556,0.1388888888888889,0.027777777777777776,0.027777777777777776,0.0
1号[差され型] | 筆頭[6号:まくり] | 連動有,32,0.4375,0.15625,0.15625,0.125,0.125,0.0
1号[まくり差され型] | 筆頭[4号:差し] | 連動無,31,0.6451612903225806,0.16129032258064516,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806
1号[抜かれ型] | 筆頭[2号:まくり] | 連動有,30,0.5,0.26666666666666666,0.0,0.16666666666666666,0.03333333333333333,0.03333333333333333
1号[まくり差され型] | 筆頭[4号:まくり差し] | 連動無,29,0.4827586206896552,0.20689655172413793,0.13793103448275862,0.10344827586206896,0.06896551724137931,0.0
1号[まくられ型] | 筆頭[6号:まくり差し] | 連動有,26,0.6923076923076923,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.0
1号[まくり差され型] | 筆頭[6号:まくり差し] | 連動有,26,0.5769230769230769,0.11538461538461539,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0
1号[差され型] | 筆頭[6号:差し] | 連動有,25,0.4,0.04,0.16,0.28,0.04,0.08
1号[まくり差され型] | 筆頭[2号:まくり] | 連動無,25,0.52,0.36,0.08,0.0,0.04,0.0
1号[差され型] | 筆頭[6号:まくり差し] | 連動有,24,0.5833333333333334,0.041666666666666664,0.08333333333333333,0.125,0.16666666666666666,0.0
1号[抜かれ型] | 筆頭[3号:まくり] | 連動無,23,0.4782608695652174,0.30434782608695654,0.13043478260869565,0.0,0.043478260869565216,0.043478260869565216
1号[まくり差され型] | 筆頭[6号:まくり] | 連動有,20,0.35,0.1,0.25,0.15,0.1,0.05
1号[抜かれ型] | 筆頭[5号:まくり差し] | 連動有,20,0.45,0.15,0.1,0.25,0.05,0.0
1号[まくられ型] | 筆頭[5号:差し] | 連動有,19,0.7894736842105263,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.0
1号[差され型] | 筆頭[5号:まくり] | 連動無,19,0.42105263157894735,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.05263157894736842
1号[まくられ型] | 筆頭[6号:まくり] | 連動無,19,0.47368421052631576,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.05263157894736842
1号[抜かれ型] | 筆頭[4号:まくり] | 連動無,17,0.4117647058823529,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.0
1号[まくられ型] | 筆頭[6号:まくり差し] | 連動無,17,0.47058823529411764,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.11764705882352941
1号[差され型] | 筆頭[5号:差し] | 連動無,16,0.625,0.0,0.125,0.125,0.0625,0.0625
1号[まくり差され型] | 筆頭[5号:まくり] | 連動無,15,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0
1号[まくり差され型] | 筆頭[5号:差し] | 連動有,14,0.5,0.07142857142857142,0.2857142857142857,0.0,0.14285714285714285,0.0
1号[抜かれ型] | 筆頭[5号:まくり] | 連動有,14,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142
1号[抜かれ型] | 筆頭[4号:まくり差し] | 連動有,14,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.0,0.07142857142857142,0.0
